,index,Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
10,145,The fundamentals of hotel distribution,ESSEC Business School,Intermediate,4.7,https://www.coursera.org/learn/hotel-distribution,today hotel sector increasingly complex network traditional web based channels managed insure hotel success key questions include distribute web include brand com website people book maximise potential online travel agents otas distribution environment highly complex constantly evolving course give comprehensive foundation current industry practices help jump start career fascinating domain acknowledgements claire bertrand vincent chatain jessica moses benjamin six essec business school emilie dupr image gregory halidy triplay,hotel management revenue management distribution business leadership management studentized residual chi squared distribution hospitality management revenue marketing hotel business business strategy
11,146,Marketing in a Digital World,University of Illinois at Urbana-Champaign,Conversant,4.6,https://www.coursera.org/learn/marketing-digital,course examines digital tools internet smartphones 3d printing revolutionizing world marketing changing roles practices firms consumers marketing digital world one popular courses coursera 250 000 learners rated class central one top 50 moocs time https www class central com report top moocs course initially launched 2015 updated april 2020 course part imba offered university illinois flexible fully accredited online mba incredibly competitive price information please see resource page course onlinemba illinois edu,pricing strategy digital strategy marketing promotion marketing marketing strategy digital marketing product placement marketing mix market economics business marketing
12,147,Bugs 101: Insect-Human Interactions,University of Alberta,Intermediate,4.9,https://www.coursera.org/learn/bugs-101,animals earth strongest size fastest first animals evolve flight insects take titles abundant animals planet insects arthropods affect lives many ways beneficial interactions like pollination biological pest control transmission life threatening diseases course teach big ways little arthropods impact lives bugs 101 insect human interactions plunged diverse sometimes alien world arthropods learn work insects humans interact every day completing course able describe evolutionary relationships insects arthropod relatives inventory major groups insects diversity demonstrate evolutionary adaptations make insects successful discuss insect biology human insect interactions evaluate positive negative interactions insects humans propose practical symbolic roles insects play human societies,butterfly biology veterinary ecosystem entomology entomophagy agriculture plant insect flight animal life sciences basic science
13,162,"Penetration Testing, Incident Response and Forensics",IBM,Beginner,4.6,https://www.coursera.org/learn/ibm-penetration-testing-incident-response-forensics,course gives background needed gain cybersecurity skills part cybersecurity security analyst professional certificate program learn different phases penetration testing gather data penetration test popular penetration testing tools furthermore learn phases incident response important documentation collect components incident response policy team finally learn key steps forensic process important data collect course also gives first look scripting importance system analyst course intended anyone wants gain basic understanding cybersecurity fifth course series courses acquire skills work cybersecurity field cybersecurity analyst completion course also makes eligible earn penetration testing incident response forensics ibm digital badge information badge found https www youracclaim com org ibm badge penetration testing incident response forensics course learn tdescribe penetration testing tools benefits organization tdescribe deep dive incident response techniques tools tdescribe digital forensics digital evidence tdiscuss power scripting,incident management penetration test scripting language python programming computer security incident management leadership management security computer programming digital forensics forensics information technology security
14,171,"Sleep: Neurobiology, Medicine, and Society",University of Michigan,Intermediate,4.7,https://www.coursera.org/learn/sleep,objective course give students date information biological personal societal relevance sleep personal relevance emphasized fact single best predictor daytime performance quality previous night sleep brain actively generates sleep first section course overview neurobiological basis sleep control course provides cellular level understanding sleep deprivation jet lag substances alcohol caffeine nicotine alter sleep wakefulness second section course covers sleep dependent changes physiology sleep disorders medicine particular emphasis placed disorders excessive sleepiness insomnia sleep dependent changes autonomic control chronic sleep deprivation impairs immune function may promote obesity deaths due causes frequent 4 00 6 00 second section class highlights relevance sleep preventive medicine societal relevance sleep considered final section class increasingly complex technologically oriented society operator error one individual disastrous negative impact public health safety fatigue related performance decrements known contributed causal factors nuclear power plant failures transportation disasters medical errors,medicine sleep apnea sleep deprivation biology sleep system call neurobiology molecular biology sleep cognitive behavioral therapy insomnia sleep medicine life sciences basic science
15,172,Building Containerized Applications on AWS,Amazon Web Services,Beginner,4,https://www.coursera.org/learn/containerized-apps-on-aws,course introduces container technologies used modernize applications well exploring different aws services used manage orchestrate containers container technologies existed years still gaining popularity two prevalent options docker kubernetes distinct set features regardless technology choose one biggest challenges containers orchestration unlike traditional monolithic applications scale macro level executable example containerized applications scale container level coupled microservices approach container contain code necessary execute single task function provides number benefits single application consist hundreds containerized microservices handle starting stopping scaling scaling containers aws offers number services help container orchestration including amazon elastic container service ecs amazon elastic kubernetes service eks amazon lightsail amazon elastic container registry ecr throughout course expert instructors dive deep services well general container technologies capabilities course uses combination video based lectures delivered aws technical trainers demonstrations hands lab exercises enable deploy manage containerized application,kubernetes microservices docker software subnetwork command line interface node js macro computer science service discovery virtual machine operating systems information technology cloud computing
16,175,Introduction to Git and GitHub,Google,Advanced,4.8,https://www.coursera.org/learn/introduction-git-github,course learn keep track different versions code configuration files using popular version control system vcs called git also go setup account service called github create remote repositories store code configuration throughout course learn git core functionality understand used organizations look basic advanced features like branches merging demonstrate working knowledge vcs like git lifesaver emergency situations debugging explore use vcs work others remote repositories like ones provided github end course able store code history git collaborate others github also start creating portfolio order follow along complete assessments need computer install git ask administrator install,version control version control systems python programming computer programming software github code review collaboration git software software versioning information technology cloud computing
17,178,Using Python to Interact with the Operating System,Google,Advanced,4.6,https://www.coursera.org/learn/python-operating-system,end course able manipulate files processes computer operating system also learned regular expressions powerful tool processing text files get practice using linux command line virtual machine might feel like stretch right also write program processes bunch errors actual log file generates summary file super useful skill specialists know kick exploring execute python locally organize use code across different python files learn read write different types files use subprocesses input streams also dive bash scripting regular expressions powerful tools anyone working systems even touch automatic testing allow us automate check code correct finish put together using tools acquired process data generate automatic reports also explain set developer environment machine key step able write deploy powerful automation tools,unix file system unit testing regular expression unix shells computer programming bash unix shell command line interface test automation python programming information technology support operations
18,184,Forensic Accounting and Fraud Examination,West Virginia University,Beginner,4.7,https://www.coursera.org/learn/forensic-accounting,everyday across world thousands businesses victimized fraud commits bad acts course going help answer questions commits fraud also help develop skills catching,audit accounting internal control internality forensics fraud deterrence analysis forensic accounting fraud detection fraud investigation business finance
19,202,Introduction to Programming with MATLAB,Vanderbilt University,Conversant,4.8,https://www.coursera.org/learn/matlab,course teaches computer programming little previous experience uses programming system language called matlab easy learn versatile useful engineers professionals matlab special purpose language excellent choice writing moderate size programs solve problems involving manipulation numbers design language makes possible write powerful program lines problems may relatively complex matlab programs solve relatively simple relative equivalent program written general purpose language c java result matlab used wide variety domains natural sciences disciplines engineering finance beyond heavily used industry hence solid background matlab indispensable skill today job market nevertheless course matlab tutorial introductory programming course uses matlab illustrate general concepts computer science programming students successfully complete course become familiar general concepts computer science gain understanding general concepts programming obtain solid foundation use matlab students taking course get matlab online license free charge duration course students encouraged consult ebook course based information resources found resources menu right,principle matlab programming principles problem solving programming tool computer programming matrices computer program logic language computer science software development
20,216,Seeing Through Photographs,The Museum of Modern Art,Intermediate,4.8,https://www.coursera.org/learn/photography,taking sharing viewing photographs become second nature many us given near constant engagement images course help dig meaning pictures reconsider photography role visual culture course aims address gap seeing truly understanding photographs introducing diversity ideas approaches technologies inform making course look closely 100 photographs collection museum modern art going behind scenes museum artist studios original films audio interviews hear variety perspectives ways photography used throughout 180 year history means artistic expression tool science exploration instrument documentation way tell stories record histories mode communication critique short texts readings moma publications provide enhanced context works course enrolling course join community international learners discussion forums receive invitations live virtual events lead instructor sarah meister gain exclusive access moma resources update listening feedback september 2020 launched new content seeing photographs including audio interviews additional contemporary artists around world videos sarah introducing key ideas almost doubling number photographs collection also added opportunities share receive feedback photographs discussion forums,essay writing critical thinking observation photography history photo essays art history art analysis creativity arts humanities music art
21,218,Excel Skills for Business: Intermediate II,Macquarie University,Beginner,4.8,https://www.coursera.org/learn/excel-intermediate-2,spreadsheet software remains one ubiquitous pieces software used workplaces across world learning confidently operate software means adding highly valuable asset employability portfolio third course excel specialization excel skills business delve deeper powerful features excel offer successfully completed course able check prevent errors spreadsheets create powerful automation spreadsheets apply advanced formulas conditional logic help make informed business decisions create spreadsheets help forecast model data brought together great teaching team every step way nicky prashan guide week exploring advanced topics following alex excel consultant called businesses experience issues spreadsheets,modeling microsoft excel data validation index microsoft excel macro microsoft excel vba macro computer science data model solver lookup table business business essentials
22,227,Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,Beginner,4.8,https://www.coursera.org/learn/environmental-law,environmental law may one institution standing us planetary exhaustion also institution needs reconciled human liberty economic aspirations course considers issues provides tour though existing legal regimes governing pollution water law endangered species toxic substances environmental impact analyses environmental risk note environmental law policy course close new learner enrollment february 22 2019 learners already enrolled continue see coursera dashboard long remain enrolled course currently enrolled course please see announcement sent february 19 2019 additional details,international law common law environmental policy environmental law law legal analysis pollution analysis policy analysis environmental protection social sciences law
23,231,Food & Beverage Management,Universit� Bocconi,Beginner,4.8,https://www.coursera.org/learn/food-beverage-management,managing company food beverage industry fascinating task food beverage products deeply rooted culture countries making selling matter making selling good tasty products products nurture people body soul heart given difficult see task quickly becomes complex objective course twofold first focus contemporary challenges managers entrepreneurs food beverage businesses able face second provide models tools design implement appropriate courses action satisfy customers build advantage competition course made four modules introduction exploring one dilemma food beverage companies face presented set video lectures guest speakers lectures combine accessible introduction specific topics integrated interviews managers experts give precious insights examples participants enhance learning experience us make documentary excellences modena district available format developed specifically course order give chance experience first hand territory campus students usually module paired evaluated quiz weekly discussion forums reflect variety f b world complexity power network build together course successful completion quizzes required course certificate explained grading policy guest speakers course masterchef italia sky nils hartmann head movie channels sky italia www masterchef sky eataly paolo bongiovanni marketing director italy www eataly net berlucchi paolo ziliani owner www berlucchi joia restaurant alta cucina naturale pietro leemann owner chef www joia branca nicol branca owner www branca barilla giuseppe morici president region europe www barilla com proyecto expo 2015 chile guillermo ariztia chile pavillon director www expomilan cl winery il cavallante milano sergio morpurgo owner heineken floris cobelens marketing director www heineken com trdn martin oetting managing director www trnd com grom federico grom owner founder www grom en tetra pak matthew hatton director competitor intelligence www tetrapak com biohombre matteo panini ceo www hombre acetaia maletti carmen claudio maletti cantine riunite civ vanni lusetti ceo francesca benini sales marketing manager elena lottici export manager mario vandi brand manager www riunite glemgas marco guerzoni program product manager www glemgas com bibendum catering lafranceschetta58 sabrina lazzereschi marta pulini owners founders www bibendumcatering www franceschetta58 disclaimer since videos conducted whose native language english decided sometimes preserve emphatic speech keep tighter match audio subtitles,marketing communications brand market segmentation marketing strategy market economics communication marketing brand management leadership management strategy business leadership management
24,236,"Penetration Testing, Incident Response and Forensics",IBM,Beginner,4.6,https://www.coursera.org/learn/ibm-penetration-testing-incident-response-forensics,course gives background needed gain cybersecurity skills part cybersecurity security analyst professional certificate program learn different phases penetration testing gather data penetration test popular penetration testing tools furthermore learn phases incident response important documentation collect components incident response policy team finally learn key steps forensic process important data collect course also gives first look scripting importance system analyst course intended anyone wants gain basic understanding cybersecurity fifth course series courses acquire skills work cybersecurity field cybersecurity analyst completion course also makes eligible earn penetration testing incident response forensics ibm digital badge information badge found https www youracclaim com org ibm badge penetration testing incident response forensics course learn tdescribe penetration testing tools benefits organization tdescribe deep dive incident response techniques tools tdescribe digital forensics digital evidence tdiscuss power scripting,incident management penetration test scripting language python programming computer security incident management leadership management security computer programming digital forensics forensics information technology security
25,239,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,Advanced,4.3,https://www.coursera.org/learn/python-plotting,course introduce learner information visualization basics focus reporting charting using matplotlib library course start design information literacy perspective touching makes good bad visualization statistical measures translate terms visualizations second week focus technology used make visualizations python matplotlib introduce users best practices creating basic charts realize design decisions framework third week tutorial functionality available matplotlib demonstrate variety basic statistical charts helping learners identify particular method good particular problem course end discussion forms structuring visualizing data course taken introduction data science python remainder applied data science python courses applied machine learning python applied text mining python applied social network analysis python,data analysis chart matplotlib analysis scatter plot computer programming data visualization python programming computer graphics plot graphics data science data analysis
26,255,The Art of Music Production,Berklee College of Music,Advanced,4.8,https://www.coursera.org/learn/producing-music,explore art record production make recordings people love listening course teach make emotionally moving recordings almost recording equipment including phone laptop emphasis mastering tangible artistic concepts gear use learn develop important tool recording studio ears learn enhance every aspect productions sonically musically employing deeper listening skills assignments include posting recordings peer review reviewing classmates work employing specific tools strategies use digital audio workstation record mix great long record computer post mp3 complete assignments learn art record production 4 week course also learn artist producer necessary read music play instrument take course,art listening emotions sound design music signature audio production writing microphone sound arts humanities music art
27,256,The Art of Music Production,Berklee College of Music,Advanced,4.8,https://www.coursera.org/learn/producing-music,explore art record production make recordings people love listening course teach make emotionally moving recordings almost recording equipment including phone laptop emphasis mastering tangible artistic concepts gear use learn develop important tool recording studio ears learn enhance every aspect productions sonically musically employing deeper listening skills assignments include posting recordings peer review reviewing classmates work employing specific tools strategies use digital audio workstation record mix great long record computer post mp3 complete assignments learn art record production 4 week course also learn artist producer necessary read music play instrument take course,art listening emotions sound design music signature audio production writing microphone sound arts humanities music art
28,263,Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,Advanced,4.8,https://www.coursera.org/learn/intro-accounting-data-analytics-visual,accounting always analytical thinking earliest days profession luca pacioli emphasized importance math order analyzing business transactions skillset accountants needed perform math keep order evolved pencil paper typewriters calculators spreadsheets accounting software new skillset becoming important nearly every aspect business big data analytics analyzing large amounts data find actionable insights course designed help accounting students develop analytical mindset prepare use data analytic programming languages like python r divided course three main sections first section bridge accountancy analytics identify tasks five major subdomains accounting e financial managerial audit tax systems historically required analytical mindset explore tasks completed effectively efficiently using big data analytics present fact framework guiding big data analytics frame question assemble data calculate data tell others results second section course emphasize importance assembling data using financial statement data explain desirable characteristics data datasets lead effective calculations visualizations third largest section course demonstrate explore excel tableau used analyze big data describe visual perception principles apply principles create effective visualizations examine fundamental data analytic tools regression linear programming using excel solver clustering context point sale data loan data conclude demonstrating power data analytic programming languages assemble visualize analyze data introduce visual basic applications example programming language visual basic editor example integrated development environment ide,data clustering algorithms analytics tableau software microsoft excel data visualization microsoft excel vba pivot table analysis data analysis software data science data analysis
29,265,Introduction to Game Development,Michigan State University,Beginner,4.8,https://www.coursera.org/learn/game-development,love games want learn make course start path making games creative technical art form course familiarize tools practices game development get started developing videogames using industry standard game development tools including unity3d game engine c end course completed three hands projects able leverage array game development techniques create basic games course individuals interested becoming game designer game artist game programmer,game design java annotation computer programming game development tool user interface game engine unity user interface programming tool interfaces video game development computer science software development
30,276,Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universit�t M�nchen (LMU),Beginner,4.8,https://www.coursera.org/learn/nutrition-pregnancy,nutrition lifestyle pregnancy offers overview latest research findings international recommendations variety nutrition related aspects outcomes pregnancy ensuring healthy nutritional status lifestyle prior pregnancy one best ways help support healthy growth development unborn child look healthy diet lifestyle ideally achieved prior conception provide recommendations pre conception counselling women also look nutritient recommendations healthy pregnancy ensure optimal maternal fetal outcomes well focus common nutrition related pregnancy complications obesity gestational diabetes learner opportunity delve cutting edge world epigenetic metabolomic research appreciate enormous role programming effects long term health disease outcomes finally offer real life everyday situations questions pregnant women aid healthcare professionals nutrition based counselling pregnant women families addition english original subtitles portugese language available,exercise obesity nutrition physical activity gestational diabetes diets pregnancy nutrients risk diet nutrition life sciences nutrition
31,285,Introduction to Data Analysis Using Excel,Rice University,Beginner,4.7,https://www.coursera.org/learn/excel-data-analysis,use excel widespread industry powerful data analysis tool almost big small businesses use excel day day functioning introductory course use excel designed give working knowledge excel aim getting use advance topics business statistics later course designed keeping mind two kinds learners little functional knowledge excel use excel regularly peripheral level wish enhance skills course takes basic operations reading data excel using various data formats organizing manipulating data advanced functionality excel along excel functionality introduced using easy understand examples demonstrated way learners become comfortable understanding applying successfully complete course assignments students must access windows version microsoft excel 2010 later week 1 module 1 introduction spreadsheets module introduced use excel spreadsheets various basic data functions excel topics covered include treading data excel using various formats tbasic functions excel arithmetic well various logical functions tformatting rows columns tusing formulas excel copy paste using absolute relative referencing week 2 module 2 spreadsheet functions organize data module introduces various excel functions organize query data learners introduced nested vlookup hlookup functions excel topics covered include tif nested functions tvlookup hlookup tthe randbetween function week 3 module 3 introduction filtering pivot tables charts module introduces various data filtering capabilities excel learn set filters data selectively access data powerful data summarizing tool pivot table also explained begin introduce charting feature excel topics covered include tvlookup across worksheets tdata filtering excel tuse pivot tables categorical well numerical data tintroduction charting capability excel week 4 module 4 advanced graphing charting module explores various advanced graphing charting techniques available excel starting various line bar pie charts introduce pivot charts scatter plots histograms get understand various charts get build topics covered include tline bar pie charts tpivot charts tscatter plots thistograms,histogram data visualization microsoft excel pivot chart lookup table data manipulation data analysis pivot table chart analysis data science data analysis
32,296,Cost and Economics in Pricing Strategy,University of Virginia,Beginner,4.8,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-cost-economics,much charge products services traditionally businesses answered question based cost produce provide goods services course shows economic factors behind pricing based cost pros cons cost based pricing approach developed darden school business university virginia led top ranked darden faculty boston consulting group global pricing experts course provides practical research based models methods need set prices maximize profits end course able apply knowledge basic economics make better pricing decisions recognize opportunities price discrimination selling product different prices different buyers recommend strategies maximize sales profits calculate three types price elasticities determine impact price demand analyze apply different pricing models cost plus pricing marginal cost plus pricing peak load pricing index based pricing evaluate impact channel intermediaries customer lifetime value pricing,cost pricing strategies pricing analysis economics strategy price discrimination price optimization demand price elasticity demand business marketing
33,305,Python Data Structures,University of Michigan,Conversant,4.8,https://www.coursera.org/learn/python-data,course introduce core data structures python programming language move past basics procedural programming explore use python built data structures lists dictionaries tuples perform increasingly complex data analysis course cover chapters 6 10 textbook python everybody course covers python 3,dict python programming python syntax semantics problem solving data structures language computer programming semantics data type syntax computer science software development
34,308,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,Advanced,4.8,https://www.coursera.org/learn/arbitration-international-disputes,arbitration international disputes third course leiden university series international law action first course covered generalities international courts tribunals hague second course provided insider perspective work international criminal courts tribunals third course explores major aspects international arbitration one common method international dispute settlement course gain depth understanding various facets international arbitration analysis role mechanism dispute settlement institutions fields law applicable course famous awards main question answer together course international arbitration contribute creation peaceful world settlement disputes states states non state actors order learn basic historical concepts arbitration well everything know permanent court arbitration based hague dive role international arbitration settling disputes relating law sea particular insight landmark south china sea arbitration entire module focus investment arbitration principles procedure icsid international centre settlement investment disputes conclude course module interplay state immunity enforcement arbitral awards brought light yukos arbitration perfect illustration topic course offers opportunity gain better insight international arbitration role current issues relating gain depth knowledge principles rules arbitration explore topic concrete examples prominent arbitrations also grasp notion international arbitration navigating law politics international arbitration hague go hand hand several key arbitration institutes located hague important disputes settled arbitration hague speak place international arbitration especially dealing arbitration states arbitration investment disputes foreign investors states join us course become expert international arbitration course free join participate possibility get verified certificate course paid option want certificate unable pay request financial aid via coursera,entry point law international relations arbitration business law entitlement international law sports law constraint algorithm law management social sciences law
