course_id,name
globalenergyandclimatepolicy,Global Energy and Climate Policy
democracia,Democracia y decisiones públicas. Introducción al análisis de políticas públicas
transformation-global-food-system,Transformation of the Global Food System
international-criminal-law,Introduction to International Criminal Law
progfun1,Functional Programming Principles in Scala
everyday-parenting,Everyday Parenting: The ABCs of Child Rearing
drug-commercialization,Drug Commercialization
theropods-birds,Paleontology: Theropod Dinosaurs and the Origin of Birds
sequence-models-in-nlp,Natural Language Processing with Sequence Models
public-speaking,Introduction to Public Speaking
covid-19-contact-tracing-for-nursing-professionals,COVID-19 Contact Tracing For Nursing Professionals
cats-and-dogs,The Truth About Cats and Dogs
beyond-the-sustainable-development-goals-addressing-sustainability-and-development,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development
wharton-operations-analytics,Operations Analytics
front-end-react,Front-End Web Development with React
computational-neuroscience,Computational Neuroscience
global-financial-crisis,The Global Financial Crisis
clinical-research,Understanding Clinical Research: Behind the Statistics
gestion-organizaciones-efectivas,Gestión de organizaciones efectivas
fundamentals-of-reinforcement-learning,Fundamentals of Reinforcement Learning
gis,Fundamentals of GIS
introduction-blockchain-technologies,Introduction to Blockchain Technologies
what-is-a-proof,Mathematical Thinking in Computer Science
genetics-evolution,Introduction to Genetics and Evolution
ecology-conservation,Ecology: Ecosystem Dynamics and Conservation
construction-project-management,Construction Project Management
understanding-visualization-data,Understanding and Visualizing Data with Python
philosophy-cognitive-sciences,Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences
vlsi-cad-logic,VLSI CAD Part I: Logic
speak-english-professionally,"Speak English Professionally: In Person, Online & On the Phone"
race-cultural-diversity-american-life,Race and Cultural Diversity in American Life and History
introduction-to-ai,Introduction to Artificial Intelligence (AI)
child-development,Understanding child development: from synapse to society
aulaconstructivista,Hacia una práctica constructivista en el aula
dyslexia-difficulties,Supporting children with difficulties in reading and writing
business-transformation-google-cloud,Business Transformation with Google Cloud
the-business-of-product-management-one,The Business of Product Management I
contemporary-art,What Is Contemporary Art?
solar-energy-basics,Solar Energy Basics
access-control-sscp,Access Controls
excel-aplicado-negocios-avanzado,Excel aplicado a los negocios (Nivel Avanzado)
positive-psychology,Positive Psychology
model-thinking,Model Thinking
fe-exam,Fundamentals of Engineering Exam Review
conversational-experiences-dialogflow,Building Conversational Experiences with Dialogflow
upravleniya-proektami-agile-scrum,Agile и Scrum в работе над проектами и продуктами
positive-psychology-resilience,Positive Psychology: Resilience Skills
uva-darden-agile-team-management,Managing an Agile Team
organizational-behavior,International Leadership and Organizational Behavior
international-migrations,International migrations: a global issue
data-lakes-data-warehouses-gcp,Modernizing Data Lakes and Data Warehouses with GCP
painting,In the Studio: Postwar Abstract Painting
cloud-infrastructure-design-process,Reliable Google Cloud Infrastructure: Design and Process
learn-speak-korean1,Learn to Speak Korean 1
dental-medicine-penn,Introduction to Dental Medicine
nutricion-obesidad-sobrepeso,Nutrición y obesidad: control de sobrepeso
engineering-health-yoga-physiology,Engineering Health: Introduction to Yoga and Physiology
global-diplomacy-un,Global Diplomacy: the United Nations in the World
renewable-energy-entrepreneurship,Renewable Energy and Green Building Entrepreneurship
design-strategy,Design-Led Strategy: Design thinking for business strategy and entrepreneurship
version-control-with-git,Version Control with Git
success,The Science of Success: What Researchers Know that You Should Know
wharton-operations,Introduction to Operations Management
geopolitics-europe,Geopolitics of Europe
personal-branding,Introduction to Personal Branding
sleep,"Sleep: Neurobiology, Medicine, and Society"
equine,Equine Welfare and Management
finding-purpose-and-meaning-in-life,Finding Purpose and Meaning In Life: Living for What Matters Most
estrategia-marketing-digital,Marketing Digital
emt-foundations,EMT Foundations
what-is-social,What is Social?
exposure-photography,"Cameras, Exposure, and Photography"
excel-data-analysis-fundamentals,Excel Fundamentals for Data Analysis
digital-advertising-landscape,Introduction to the Digital Advertising Landscape
social-impact,Social Impact Strategy: Tools for Entrepreneurs and Innovators
effective-compliance-programs,Effective Compliance Programs
truthinourbones-osteoarchaeology-archaeology,Osteoarchaeology: The Truth in Our Bones
nutrition-pregnancy,Nutrition and Lifestyle in Pregnancy
aws-fundamentals-going-cloud-native,AWS Fundamentals: Going Cloud-Native
what-is-compliance,What is Compliance?
revisao-sistematica,Revisão Sistemática e Meta-análise
understanding-arguments,Think Again I: How to Understand Arguments
international-taxation,Rethinking International Tax Law
cybersecurity-roles-processes-operating-system-security,"Cybersecurity Roles, Processes & Operating System Security"
web-development,Introduction to Web Development
aboriginal-education,Aboriginal Worldviews and Education
european-law-fundamentals,European Business Law: Understanding the Fundamentals
instructional-design-foundations-applications,Instructional Design Foundations and Applications
six-sigma-principles,Six Sigma Principles
introduction-g-suite,Introduction to G Suite
practical-time-series-analysis,Practical Time Series Analysis
database-management,Database Management Essentials
dino101,Dino 101: Dinosaur Paleobiology
high-stakes-leadership,High Stakes Leadership: Leading in Times of Crisis
immunologyfundamentalsimmunitybcells,Fundamentals of Immunology: Innate Immunity and B-Cell Function
introduction-portfolio-construction-python,Introduction to Portfolio Construction and Analysis with Python
decision-making,Data-driven Decision Making
bioinformatics,Biology Meets Programming: Bioinformatics for Beginners
troubles-spectre-autisme-diagnostic,Troubles du spectre de l'autisme : diagnostic
curanderismo-plants,Curanderismo: Traditional Healing Using Plants
healing-with-the-arts,Healing with the Arts
c-for-everyone,C for Everyone: Programming Fundamentals
intro-sql,Introduction to Structured Query Language (SQL)
powerpoint-presentations,Effective Business Presentations with Powerpoint
introduction-genomics,Introduction to Genomic Technologies
duke-behavioral-finance,Behavioral Finance
creative-thinking-techniques-and-tools-for-success,Creative Thinking: Techniques and Tools for Success
kotlin-for-java-developers,Kotlin for Java Developers
biohacking-your-brains-health,Biohacking Your Brain's Health
python-plotting,"Applied Plotting, Charting & Data Representation in Python"
moralities,Moralities of Everyday Life
dermatology,Dermatology: Trip to skin
tricky-american-english-pronunciation,Tricky American English Pronunciation
ai-for-medical-diagnosis,AI for Medical Diagnosis
introduction-git-github,Introduction to Git and GitHub
strategic-business-management-microeconomics,Strategic Business Management - Microeconomics
legal-tech-startups,Legal Tech & Startups
crash-course-in-causality,A Crash Course in Causality:  Inferring Causal Effects from Observational Data
intro-to-healthcare,Introduction to Healthcare
covid-19-what-you-need-to-know,COVID-19: What You Need to Know (CME Eligible)
oralcavity,The Oral Cavity: Portal to Health and Disease
strategic-management,Strategic Management
addiction-and-the-brain,The Addicted Brain
recruiting-hiring-onboarding-employees,"Recruiting, Hiring, and Onboarding Employees"
game-development,Introduction to Game Development
classical-sociological-theory,Classical Sociological Theory
feminism-social-justice,Feminism and Social Justice
wharton-finance,Introduction to Corporate Finance
introduction-to-computer-programming,Introduction to Computer Programming
systems-thinking,Systems Thinking In Public Health
r-programming,R Programming
uva-darden-design-thinking-innovation,Design Thinking for Innovation
principles-of-macroeconomics,The Power of Macroeconomics: Economic Principles in the Real World
uol-machine-learning-for-all,Machine Learning for All
mindshift,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential
corporate-commercial-law-part1,Corporate & Commercial Law I: Contracts & Employment Law
sustainable-tourism,Sustainable Tourism – promoting environmental public health
